Month,time,level
1921-01,0,14.763
1921-02,0.083333333,14.649
1921-03,0.166666667,15.085
1921-04,0.25,16.376
1921-05,0.333333333,16.926
1921-06,0.416666667,16.774
1921-07,0.5,16.49
1921-08,0.583333333,15.769
1921-09,0.666666667,15.18
1921-10,0.75,14.383
1921-11,0.833333333,14.478
1921-12,0.916666667,14.364
1922-01,1,13.928
1922-02,1.083333333,13.283
1922-03,1.166666667,13.7
1922-04,1.25,15.465
1922-05,1.333333333,16.243
1922-06,1.416666667,16.49
1922-07,1.5,16.243
1922-08,1.583333333,15.787
1922-09,1.666666667,15.446
1922-10,1.75,14.649
1922-11,1.833333333,13.776
1922-12,1.916666667,13.188
1923-01,2,13.283
1923-02,2.083333333,12.657
1923-03,2.166666667,12.979
1923-04,2.25,13.909
1923-05,2.333333333,14.535
1923-06,2.416666667,14.877
1923-07,2.5,14.858
1923-08,2.583333333,14.288
1923-09,2.666666667,13.947
1923-10,2.75,13.416
1923-11,2.833333333,12.903
1923-12,2.916666667,13.454
1924-01,3,13.491
1924-02,3.083333333,13.567
1924-03,3.166666667,13.397
1924-04,3.25,14.44
1924-05,3.333333333,15.161
1924-06,3.416666667,15.427
1924-07,3.5,15.693
1924-08,3.583333333,15.142
1924-09,3.666666667,14.763
1924-10,3.75,14.288
1924-11,3.833333333,13.074
1924-12,3.916666667,12.543
1925-01,4,12.239
1925-02,4.083333333,12.011
1925-03,4.166666667,12.827
1925-04,4.25,13.567
1925-05,4.333333333,13.548
1925-06,4.416666667,13.302
1925-07,4.5,13.188
1925-08,4.583333333,13.112
1925-09,4.666666667,12.827
1925-10,4.75,12.201
1925-11,4.833333333,11.917
1925-12,4.916666667,11.803
1926-01,5,11.157
1926-02,5.083333333,10.892
1926-03,5.166666667,11.12
1926-04,5.25,12.6
1926-05,5.333333333,13.283
1926-06,5.416666667,13.416
1926-07,5.5,13.34
1926-08,5.583333333,13.529
1926-09,5.666666667,13.776
1926-10,5.75,14.307
1926-11,5.833333333,13.852
1926-12,5.916666667,13.833
1927-01,6,13.169
1927-02,6.083333333,12.941
1927-03,6.166666667,13.188
1927-04,6.25,14.383
1927-05,6.333333333,14.763
1927-06,6.416666667,15.218
1927-07,6.5,15.161
1927-08,6.583333333,14.858
1927-09,6.666666667,14.156
1927-10,6.75,13.586
1927-11,6.833333333,13.15
1927-12,6.916666667,14.137
1928-01,7,14.231
1928-02,7.083333333,14.364
1928-03,7.166666667,13.833
1928-04,7.25,14.478
1928-05,7.333333333,15.009
1928-06,7.416666667,15.617
1928-07,7.5,16.148
1928-08,7.583333333,15.977
1928-09,7.666666667,15.142
1928-10,7.75,14.592
1928-11,7.833333333,14.364
1928-12,7.916666667,14.497
1929-01,8,14.554
1929-02,8.083333333,14.991
1929-03,8.166666667,15.863
1929-04,8.25,17.932
1929-05,8.333333333,19.184
1929-06,8.416666667,19.184
1929-07,8.5,18.956
1929-08,8.583333333,18.254
1929-09,8.666666667,17.514
1929-10,8.75,16.66
1929-11,8.833333333,16.338
1929-12,8.916666667,16.319
1930-01,9,17.457
1930-02,9.083333333,17.173
1930-03,9.166666667,17.856
1930-04,9.25,18.596
1930-05,9.333333333,18.558
1930-06,9.416666667,18.159
1930-07,9.5,17.685
1930-08,9.583333333,16.812
1930-09,9.666666667,16.072
1930-10,9.75,15.332
1930-11,9.833333333,14.478
1930-12,9.916666667,14.213
1931-01,10,13.738
1931-02,10.08333333,13.169
1931-03,10.16666667,12.581
1931-04,10.25,13.245
1931-05,10.33333333,13.852
1931-06,10.41666667,14.175
1931-07,10.5,14.288
1931-08,10.58333333,13.985
1931-09,10.66666667,13.435
1931-10,10.75,12.884
1931-11,10.83333333,12.429
1931-12,10.91666667,12.41
1932-01,11,13.397
1932-02,11.08333333,13.909
1932-03,11.16666667,13.833
1932-04,11.25,14.099
1932-05,11.33333333,14.687
1932-06,11.41666667,14.611
1932-07,11.5,14.383
1932-08,11.58333333,13.909
1932-09,11.66666667,13.359
1932-10,11.75,12.296
1932-11,11.83333333,12.106
1932-12,11.91666667,11.803
1933-01,12,12.353
1933-02,12.08333333,12.22
1933-03,12.16666667,12.827
1933-04,12.25,14.25
1933-05,12.33333333,15.085
1933-06,12.41666667,14.953
1933-07,12.5,14.44
1933-08,12.58333333,13.89
1933-09,12.66666667,13.036
1933-10,12.75,12.201
1933-11,12.83333333,11.404
1933-12,12.91666667,11.309
1934-01,13,10.987
1934-02,13.08333333,10.361
1934-03,13.16666667,10.304
1934-04,13.25,11.347
1934-05,13.33333333,11.784
1934-06,13.41666667,11.841
1934-07,13.5,11.841
1934-08,13.58333333,11.651
1934-09,13.66666667,11.404
1934-10,13.75,10.873
1934-11,13.83333333,10.209
1934-12,13.91666667,10.076
1935-01,14,10.247
1935-02,14.08333333,10.133
1935-03,14.16666667,10.74
1935-04,14.25,11.556
1935-05,14.33333333,12.201
1935-06,14.41666667,12.505
1935-07,14.5,12.732
1935-08,14.58333333,12.201
1935-09,14.66666667,12.068
1935-10,14.75,11.29
1935-11,14.83333333,11.139
1935-12,14.91666667,11.101
1936-01,15,10.342
1936-02,15.08333333,10
1936-03,15.16666667,11.347
1936-04,15.25,12.77
1936-05,15.33333333,13.321
1936-06,15.41666667,13.34
1936-07,15.5,13.188
1936-08,15.58333333,12.676
1936-09,15.66666667,12.315
1936-10,15.75,12.049
1936-11,15.83333333,11.594
1936-12,15.91666667,11.252
1937-01,16,12.467
1937-02,16.08333333,13.491
1937-03,16.16666667,13.491
1937-04,16.25,14.156
1937-05,16.33333333,15.256
1937-06,16.41666667,15.598
1937-07,16.5,16.034
1937-08,16.58333333,15.598
1937-09,16.66666667,14.516
1937-10,16.75,13.435
1937-11,16.83333333,12.638
1937-12,16.91666667,12.106
1938-01,17,12.144
1938-02,17.08333333,12.979
1938-03,17.16666667,11.917
1938-04,17.25,15.066
1938-05,17.33333333,15.199
1938-06,17.41666667,15.427
1938-07,17.5,15.427
1938-08,17.58333333,15.408
1938-09,17.66666667,14.706
1938-10,17.75,14.137
1938-11,17.83333333,13.302
1938-12,17.91666667,12.979
1939-01,18,13.036
1939-02,18.08333333,12.903
1939-03,18.16666667,13.719
1939-04,18.25,14.801
1939-05,18.33333333,15.541
1939-06,18.41666667,15.617
1939-07,18.5,15.503
1939-08,18.58333333,15.218
1939-09,18.66666667,14.592
1939-10,18.75,13.852
1939-11,18.83333333,13.416
1939-12,18.91666667,13.055
1940-01,19,12.315
1940-02,19.08333333,12.239
1940-03,19.16666667,12.562
1940-04,19.25,13.89
1940-05,19.33333333,14.687
1940-06,19.41666667,15.313
1940-07,19.5,15.408
1940-08,19.58333333,15.028
1940-09,19.66666667,14.782
1940-10,19.75,14.213
1940-11,19.83333333,13.435
1940-12,19.91666667,13.662
1941-01,20,14.288
1941-02,20.08333333,13.491
1941-03,20.16666667,13.15
1941-04,20.25,13.586
1941-05,20.33333333,13.871
1941-06,20.41666667,14.175
1941-07,20.5,14.099
1941-08,20.58333333,13.719
1941-09,20.66666667,13.093
1941-10,20.75,12.562
1941-11,20.83333333,12.03
1941-12,20.91666667,12.144
1942-01,21,11.86
1942-02,21.08333333,12.41
1942-03,21.16666667,12.77
1942-04,21.25,14.63
1942-05,21.33333333,15.218
1942-06,21.41666667,15.92
1942-07,21.5,15.882
1942-08,21.58333333,15.75
1942-09,21.66666667,15.275
1942-10,21.75,14.801
1942-11,21.83333333,14.554
1942-12,21.91666667,14.345
1943-01,22,15.104
1943-02,22.08333333,14.554
1943-03,22.16666667,14.953
1943-04,22.25,15.958
1943-05,22.33333333,17.59
1943-06,22.41666667,18.805
1943-07,22.5,18.805
1943-08,22.58333333,18.33
1943-09,22.66666667,17.476
1943-10,22.75,16.812
1943-11,22.83333333,16.224
1943-12,22.91666667,15.541
1944-01,23,14.744
1944-02,23.08333333,14.478
1944-03,23.16666667,14.725
1944-04,23.25,16.319
1944-05,23.33333333,17.324
1944-06,23.41666667,17.609
1944-07,23.5,17.211
1944-08,23.58333333,16.546
1944-09,23.66666667,15.977
1944-10,23.75,15.427
1944-11,23.83333333,14.972
1944-12,23.91666667,14.535
1945-01,24,14.213
1945-02,24.08333333,13.719
1945-03,24.16666667,15.009
1945-04,24.25,16.319
1945-05,24.33333333,17.078
1945-06,24.41666667,17.913
1945-07,24.5,18.159
1945-08,24.58333333,17.704
1945-09,24.66666667,17.059
1945-10,24.75,17.268
1945-11,24.83333333,16.546
1945-12,24.91666667,16.072
1946-01,25,15.996
1946-02,25.08333333,15.294
1946-03,25.16666667,15.901
1946-04,25.25,16.3
1946-05,25.33333333,16.546
1946-06,25.41666667,17.495
1946-07,25.5,17.666
1946-08,25.58333333,16.964
1946-09,25.66666667,16.148
1946-10,25.75,15.427
1946-11,25.83333333,14.839
1946-12,25.91666667,14.269
1947-01,26,14.118
1947-02,26.08333333,14.156
1947-03,26.16666667,14.08
1947-04,26.25,16.414
1947-05,26.33333333,18.216
1947-06,26.41666667,19.298
1947-07,26.5,18.824
1947-08,26.58333333,18.368
1947-09,26.66666667,17.875
1947-10,26.75,16.869
1947-11,26.83333333,16.129
1947-12,26.91666667,15.712
1948-01,27,15.617
1948-02,27.08333333,15.161
1948-03,27.16666667,16.148
1948-04,27.25,17.609
1948-05,27.33333333,18.406
1948-06,27.41666667,18.463
1948-07,27.5,18.254
1948-08,27.58333333,17.609
1948-09,27.66666667,16.812
1948-10,27.75,15.712
1948-11,27.83333333,15.066
1948-12,27.91666667,14.763
1949-01,28,14.877
1949-02,28.08333333,15.37
1949-03,28.16666667,15.731
1949-04,28.25,15.996
1949-05,28.33333333,16.224
1949-06,28.41666667,16.186
1949-07,28.5,16.015
1949-08,28.58333333,15.446
1949-09,28.66666667,14.573
1949-10,28.75,14.08
1949-11,28.83333333,13.226
1949-12,28.91666667,12.979
1950-01,29,14.459
1950-02,29.08333333,15.655
1950-03,29.16666667,15.636
1950-04,29.25,17.154
1950-05,29.33333333,17.381
1950-06,29.41666667,17.116
1950-07,29.5,16.736
1950-08,29.58333333,16.167
1950-09,29.66666667,15.92
1950-10,29.75,15.408
1950-11,29.83333333,15.066
1950-12,29.91666667,15.769
1951-01,30,15.787
1951-02,30.08333333,15.863
1951-03,30.16666667,17.154
1951-04,30.25,18.178
1951-05,30.33333333,18.653
1951-06,30.41666667,18.615
1951-07,30.5,18.406
1951-08,30.58333333,17.837
1951-09,30.66666667,17.078
1951-10,30.75,16.471
1951-11,30.83333333,16.224
1951-12,30.91666667,16.395
1952-01,31,17.4
1952-02,31.08333333,18.672
1952-03,31.16666667,19.089
1952-04,31.25,19.829
1952-05,31.33333333,20
1952-06,31.41666667,19.943
1952-07,31.5,19.526
1952-08,31.58333333,18.975
1952-09,31.66666667,18.463
1952-10,31.75,17.268
1952-11,31.83333333,16.414
1952-12,31.91666667,16.414
1953-01,32,16.755
1953-02,32.08333333,16.736
1953-03,32.16666667,17.173
1953-04,32.25,17.647
1953-05,32.33333333,18.216
1953-06,32.41666667,18.767
1953-07,32.5,18.539
1953-08,32.58333333,18.273
1953-09,32.66666667,17.419
1953-10,32.75,16.679
1953-11,32.83333333,15.996
1953-12,32.91666667,15.465
1954-01,33,15.408
1954-02,33.08333333,15.123
1954-03,33.16666667,16.072
1954-04,33.25,17.685
1954-05,33.33333333,18.235
1954-06,33.41666667,18.064
1954-07,33.5,17.818
1954-08,33.58333333,17.438
1954-09,33.66666667,16.812
1954-10,33.75,17.116
1954-11,33.83333333,17.211
1954-12,33.91666667,17.097
1955-01,34,17.495
1955-02,34.08333333,17.097
1955-03,34.16666667,18.121
1955-04,34.25,18.748
1955-05,34.33333333,18.767
1955-06,34.41666667,18.539
1955-07,34.5,18.102
1955-08,34.58333333,17.818
1955-09,34.66666667,17.002
1955-10,34.75,16.357
1955-11,34.83333333,15.56
1955-12,34.91666667,15.313
1956-01,35,14.782
1956-02,35.08333333,13.719
1956-03,35.16666667,14.839
1956-04,35.25,15.825
1956-05,35.33333333,17.324
1956-06,35.41666667,17.723
1956-07,35.5,17.685
1956-08,35.58333333,17.514
1956-09,35.66666667,16.907
1956-10,35.75,15.863
1956-11,35.83333333,14.934
1956-12,35.91666667,14.706
1957-01,36,14.383
1957-02,36.08333333,14.345
1957-03,36.16666667,14.763
1957-04,36.25,15.958
1957-05,36.33333333,16.698
1957-06,36.41666667,16.793
1957-07,36.5,17.23
1957-08,36.58333333,16.509
1957-09,36.66666667,15.787
1957-10,36.75,14.991
1957-11,36.83333333,14.08
1957-12,36.91666667,14.326
1958-01,37,14.497
1958-02,37.08333333,13.51
1958-03,37.16666667,13.662
1958-04,37.25,14.042
1958-05,37.33333333,14.269
1958-06,37.41666667,14.478
1958-07,37.5,14.972
1958-08,37.58333333,14.972
1958-09,37.66666667,14.573
1958-10,37.75,13.776
1958-11,37.83333333,13.017
1958-12,37.91666667,12.6
1959-01,38,12.296
1959-02,38.08333333,13.131
1959-03,38.16666667,13.966
1959-04,38.25,15.028
1959-05,38.33333333,15.844
1959-06,38.41666667,15.769
1959-07,38.5,15.237
1959-08,38.58333333,14.801
1959-09,38.66666667,14.137
1959-10,38.75,13.89
1959-11,38.83333333,13.416
1959-12,38.91666667,13.871
1960-01,39,14.478
1960-02,39.08333333,14.725
1960-03,39.16666667,14.763
1960-04,39.25,15.806
1960-05,39.33333333,16.565
1960-06,39.41666667,17.097
1960-07,39.5,17.306
1960-08,39.58333333,17.211
1960-09,39.66666667,16.717
1960-10,39.75,15.787
1960-11,39.83333333,14.801
1960-12,39.91666667,14.231
1961-01,40,13.966
1961-02,40.08333333,14.004
1961-03,40.16666667,15.313
1961-04,40.25,16.357
1961-05,40.33333333,17.742
1961-06,40.41666667,17.609
1961-07,40.5,17.249
1961-08,40.58333333,17.078
1961-09,40.66666667,16.509
1961-10,40.75,15.465
1961-11,40.83333333,14.706
1961-12,40.91666667,14.213
1962-01,41,13.662
1962-02,41.08333333,13.928
1962-03,41.16666667,14.516
1962-04,41.25,15.18
1962-05,41.33333333,15.351
1962-06,41.41666667,15.579
1962-07,41.5,15.446
1962-08,41.58333333,15.199
1962-09,41.66666667,14.725
1962-10,41.75,14.383
1962-11,41.83333333,14.231
1962-12,41.91666667,13.776
1963-01,42,13.15
1963-02,42.08333333,12.713
1963-03,42.16666667,13.283
1963-04,42.25,14.478
1963-05,42.33333333,14.858
1963-06,42.41666667,14.782
1963-07,42.5,14.307
1963-08,42.58333333,14.023
1963-09,42.66666667,13.529
1963-10,42.75,12.922
1963-11,42.83333333,12.41
1963-12,42.91666667,11.936
1964-01,43,11.784
1964-02,43.08333333,11.992
1964-03,43.16666667,12.619
1964-04,43.25,13.662
1964-05,43.33333333,14.231
1964-06,43.41666667,14.099
1964-07,43.5,13.833
1964-08,43.58333333,13.416
1964-09,43.66666667,12.922
1964-10,43.75,11.974
1964-11,43.83333333,11.461
1964-12,43.91666667,11.423
1965-01,44,11.86
1965-02,44.08333333,12.163
1965-03,44.16666667,13.226
1965-04,44.25,13.966
1965-05,44.33333333,14.535
1965-06,44.41666667,14.516
1965-07,44.5,14.231
1965-08,44.58333333,13.966
1965-09,44.66666667,13.738
1965-10,44.75,13.226
1965-11,44.83333333,12.998
1965-12,44.91666667,13.131
1966-01,45,13.7
1966-02,45.08333333,13.814
1966-03,45.16666667,14.383
1966-04,45.25,15.047
1966-05,45.33333333,15.693
1966-06,45.41666667,15.844
1966-07,45.5,15.712
1966-08,45.58333333,15.313
1966-09,45.66666667,14.763
1966-10,45.75,13.548
1966-11,45.83333333,13.586
1966-12,45.91666667,14.516
1967-01,46,14.383
1967-02,46.08333333,14.497
1967-03,46.16666667,14.744
1967-04,46.25,15.806
1967-05,46.33333333,16.527
1967-06,46.41666667,16.546
1967-07,46.5,16.717
1967-08,46.58333333,16.433
1967-09,46.66666667,15.769
1967-10,46.75,15.275
1967-11,46.83333333,15.123
1967-12,46.91666667,15.541
1968-01,47,15.825
1968-02,47.08333333,16.376
1968-03,47.16666667,16.357
1968-04,47.25,16.907
1968-05,47.33333333,17.021
1968-06,47.41666667,17.419
1968-07,47.5,17.533
1968-08,47.58333333,17.268
1968-09,47.66666667,16.603
1968-10,47.75,15.825
1968-11,47.83333333,15.446
1968-12,47.91666667,15.636
1969-01,48,15.693
1969-02,48.08333333,16.755
1969-03,48.16666667,16.509
1969-04,48.25,17.723
1969-05,48.33333333,18.691
1969-06,48.41666667,19.127
1969-07,48.5,19.564
1969-08,48.58333333,19.203
1969-09,48.66666667,18.216
1969-10,48.75,17.211
1969-11,48.83333333,16.66
1969-12,48.91666667,16.831
1970-01,49,15.769
1970-02,49.08333333,15.731
1970-03,49.16666667,15.996
1970-04,49.25,17.021
1970-05,49.33333333,17.552
1970-06,49.41666667,17.837
1970-07,49.5,17.856
1970-08,49.58333333,17.571
1970-09,49.66666667,17.078
1970-10,49.75,16.66
1970-11,49.83333333,16.433
1970-12,49.91666667,16.584
